company,Product code / number,address,city,country,name
phillipS,p-23,Groningensingel 152,arnhem,the netherlands,dhr p. franssen
Van Houten,p-23,Delfzijlstraat 61,arnhem,the netherlands,mevr l.  dokken
akz0,p-34,Leeuwardenweg 181,arnhem,the netherlands,dhr p. janssen
phillips,p-43,Groningensingel 148,arnhem,the netherlands,dhr p. hansen
Phillips,p-5,Groningensingel 147,arnhem,the netherlands,dhr p. jansen
phillips,p-56,Delfzijlstraat 54,arnhem,the netherlands,mevr l.  mokken
unilever,q-4,Jourestraat 24,arnhem,the netherlands,mevr l.  stokken
ak zo,q-5,Leeuwardenweg 182,arnhem,the netherlands,mevr l.  rokken
Unilever,q-6,Jourestraat 25,arnhem,the netherlands,mevr l.  rokken
unilever,q-8,Jourestraat 26,arnhem,the netherlands,mevr l.  rokken
akzo,q-9,Leeuwardenweg 183,arnhem,the netherlands,mevr l.  lokken
Akzo,v-12,Leeuwardenweg 179,arnhem,the netherlands,dhr p. vansen
phlips,v-21,Delfzijlstraat 56,arnhem,the netherlands,mevr l.  mokken
akzo,v-43,Leeuwardenweg 178,arnhem,the netherlands,dhr p. bansen
van Houten,v-56,Delfzijlstraat 58,arnhem,the netherlands,mevr l.  wokken
van houten,v-65,Delfzijlstraat 59,arnhem,the netherlands,mevr l.  kokken
fillips,v-67,Delfzijlstraat 55,arnhem,the netherlands,mevr l.  mokken
phillps,x-12,Groningensingel 151,arnhem,the netherlands,dhr p. fransen
van houten,x-21,Delfzijlstraat 60,arnhem,the netherlands,mevr l.  Bokken
philips,x-3,Groningensingel 149,arnhem,the netherlands,dhr j. Gansen
unilver,x-3,Jourestraat 23,arnhem,the netherlands,mevr l.  gokken
phllips,x-34,Groningensingel 150,arnhem,the netherlands,dhr p. mansen
Van Houten,x-45,Delfzijlstraat 57,arnhem,the netherlands,mevr l.  sokken
AKZO,x-5,Leeuwardenweg 180,arnhem,the netherlands,dhr p. bransen
akzo,x-8,Leeuwardenweg 184,arnhem,the netherlands,mevr l.  mokken
